,host_response_rate,host_listings_count,accommodates,latitude,longitude,guests_included,bathrooms,bedrooms,cleaning_fee,minimum_nights,maximum_nights,total_amenities_count,host_is_superhost,host_response_time,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,bed_type,instant_bookable,cancellation_policy,price
388,50,1,2,47.54382834,-122.3027648,1,1.0,1,0.0,1,5,12,False,within a day,False,Beacon Hill,House,Private room,Real Bed,False,flexible,56.44875000000001
389,100,123,1,47.66667724,-122.31634369999999,1,1.0,1,20.0,1,21,17,False,within an hour,False,University District,House,Private room,Real Bed,True,strict_14_with_grace_period,45.61968749999999
390,92,51,3,47.66110321,-122.313457,1,1.0,0,65.0,1,1125,19,False,within an hour,True,University District,Apartment,Entire home/apt,Real Bed,False,moderate,90.57239583333325
391,100,123,2,47.61494987,-122.3153146,1,1.5,1,25.0,1,21,12,False,within an hour,False,Capitol Hill,House,Private room,Real Bed,True,strict_14_with_grace_period,79.75979166666643
392,100,1,2,47.60601185,-122.29236499999999,2,1.0,0,100.0,1,14,18,False,within an hour,False,Central Area,Apartment,Entire home/apt,Real Bed,True,strict_14_with_grace_period,158.97479166666665
393,100,3,2,47.56655811,-122.3688298,1,1.0,1,25.0,1,30,26,True,within an hour,True,Delridge,Townhouse,Private room,Real Bed,False,flexible,53.47541666666666
394,99,521,3,47.60914872,-122.33014979999999,2,1.0,1,89.0,2,1125,27,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict,195.3998958333334
395,67,2,8,47.63432757,-122.35561570000002,1,3.0,4,150.0,3,21,15,False,within a day,True,Queen Anne,House,Entire home/apt,Real Bed,False,flexible,390.2671875
396,100,3,4,47.63784754,-122.3535869,4,1.0,2,111.0,2,180,37,False,within a few hours,True,Queen Anne,Apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,156.53041666666678
397,100,2,2,47.65153711,-122.33052579999999,1,1.0,0,35.0,1,14,45,False,within an hour,False,Other neighborhoods,Apartment,Entire home/apt,Real Bed,False,moderate,96.34812500000004
398,100,37,4,47.50303085,-122.255852,1,1.0,2,50.0,1,7,19,True,within an hour,False,Rainier Valley,Guest suite,Entire home/apt,Real Bed,False,moderate,72.81583333333333
399,100,2,4,47.61784562,-122.3280946,2,1.0,1,60.0,2,10,20,True,within an hour,True,Capitol Hill,Guest suite,Entire home/apt,Real Bed,False,strict_14_with_grace_period,127.3438541666666
400,100,1,3,47.69653132,-122.3172588,2,1.0,0,65.0,2,365,54,True,within an hour,True,Northgate,Guesthouse,Entire home/apt,Real Bed,False,strict_14_with_grace_period,106.72197916666666
401,100,123,2,47.64391748,-122.3028791,1,1.0,1,20.0,1,21,11,False,within an hour,False,Capitol Hill,House,Private room,Real Bed,True,strict_14_with_grace_period,46.87062500000001
402,100,2,6,47.6092542,-122.31501270000001,6,2.0,2,160.0,2,90,31,True,within an hour,False,Central Area,Townhouse,Entire home/apt,Real Bed,True,moderate,224.1940625
403,75,13,4,47.60729639,-122.3377105,4,2.0,2,100.0,14,1125,19,False,within a few hours,False,Downtown,Apartment,Entire home/apt,Real Bed,False,flexible,230.93041666666676
404,90,1,1,47.56633295,-122.3872639,1,1.0,1,25.0,1,1125,11,True,within a few hours,True,West Seattle,Condominium,Private room,Real Bed,False,flexible,69.47968749999997
405,99,231,6,47.65602267,-122.3480749,1,3.0,3,0.0,1,1125,43,False,within a few hours,False,Other neighborhoods,Serviced apartment,Entire home/apt,Real Bed,True,moderate,239.11822916666665
406,100,3,4,47.61058196,-122.30394579999998,1,1.0,2,25.0,2,2,13,False,within an hour,True,Central Area,House,Entire home/apt,Real Bed,False,flexible,121.52499999999996
407,100,3,4,47.66524464,-122.3704095,2,1.0,0,50.0,2,29,45,True,within an hour,True,Ballard,Loft,Entire home/apt,Real Bed,False,moderate,128.935
408,99,521,3,47.61082073,-122.3290273,2,1.0,1,89.0,2,1125,27,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict,198.29114583333325
409,0,1,2,47.554202200000006,-122.3905905,2,1.0,1,0.0,1,1125,14,False,a few days or more,True,West Seattle,House,Private room,Real Bed,True,flexible,74.30489583333333
410,100,1,4,47.67761851,-122.3955226,1,1.0,1,85.0,2,1125,37,False,within an hour,False,Ballard,Apartment,Entire home/apt,Real Bed,True,strict_14_with_grace_period,123.30718749999998
411,100,37,6,47.66882941,-122.3388524,1,1.0,2,50.0,1,14,29,True,within an hour,False,Other neighborhoods,Guest suite,Entire home/apt,Real Bed,False,moderate,108.53697916666665
412,100,5,3,47.66858111,-122.33688020000001,1,2.0,1,25.0,1,365,36,True,within an hour,True,Other neighborhoods,House,Private room,Real Bed,True,moderate,73.05281250000002
413,100,7,6,47.57385356,-122.3069922,2,2.0,3,215.0,3,1125,23,True,within an hour,True,Beacon Hill,Apartment,Entire home/apt,Real Bed,False,moderate,228.21343749999997
414,100,131,2,47.62278539,-122.3332568,1,1.0,1,75.0,2,1125,35,True,within an hour,False,Cascade,Serviced apartment,Entire home/apt,Real Bed,True,flexible,375.08458333333334
415,99,521,3,47.61010428,-122.3418699,2,1.0,1,89.0,2,1125,17,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict,208.59885416666648
416,100,3,5,47.54570685,-122.38180420000002,2,2.0,1,30.0,2,1125,47,False,within an hour,True,West Seattle,House,Private room,Real Bed,False,strict_14_with_grace_period,105.70447916666666
417,100,2,3,47.59371046,-122.30419009999999,2,1.0,0,75.0,1,1125,28,True,within an hour,True,Central Area,Guest suite,Entire home/apt,Real Bed,True,strict_14_with_grace_period,113.88437500000005
418,100,4,2,47.61804555,-122.31753940000002,2,1.0,1,30.0,1,20,20,False,within an hour,False,Capitol Hill,Apartment,Entire home/apt,Real Bed,True,strict_14_with_grace_period,105.75812500000005
419,100,2,6,47.67106344,-122.3304303,3,1.0,2,143.0,2,185,32,True,within an hour,True,Other neighborhoods,Apartment,Entire home/apt,Real Bed,True,moderate,158.82656249999994
420,100,131,2,47.62307151,-122.3313393,1,1.0,1,75.0,1,1125,35,True,within an hour,False,Cascade,Serviced apartment,Entire home/apt,Real Bed,True,flexible,228.0400000000001
421,99,521,3,47.61076149,-122.3409513,2,1.0,1,89.0,2,1125,21,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict,121.76770833333335
422,100,2,2,47.58677709,-122.38971000000001,2,1.5,1,15.0,2,1125,42,True,within an hour,False,West Seattle,House,Private room,Real Bed,True,moderate,80.03375000000004
423,100,3,6,47.6184308,-122.34741969999999,2,1.0,1,70.0,1,1124,19,False,within an hour,True,Downtown,Condominium,Entire home/apt,Real Bed,True,strict_14_with_grace_period,159.250625
424,84,2,2,47.60389355,-122.3046324,1,1.0,1,20.0,1,31,30,True,within an hour,True,Central Area,House,Private room,Real Bed,False,moderate,65.20854166666663
425,100,1,4,47.68927337,-122.387397,1,1.0,0,65.0,2,60,21,True,within an hour,False,Ballard,Guest suite,Entire home/apt,Real Bed,False,strict_14_with_grace_period,114.21249999999996
426,100,1,7,47.51306324,-122.26020919999999,2,1.0,2,40.0,2,1125,43,True,within an hour,True,Rainier Valley,House,Entire home/apt,Real Bed,True,moderate,137.54083333333335
427,100,1,6,47.65731757,-122.33542290000001,1,2.0,3,90.0,1,1125,17,False,within a few hours,False,Other neighborhoods,House,Entire home/apt,Real Bed,False,moderate,185.52781250000007
428,100,1,2,47.66436893,-122.3306356,1,1.0,1,15.0,1,1125,20,True,within an hour,False,Other neighborhoods,Apartment,Entire home/apt,Real Bed,True,flexible,103.19177083333325
429,0,1,4,47.69576331,-122.3449094,1,1.0,0,0.0,1,4,20,False,a few days or more,False,Other neighborhoods,Camper/RV,Entire home/apt,Real Bed,True,flexible,112.29812499999994
430,100,1,2,47.61618717,-122.3455717,1,1.5,2,50.0,2,10,31,True,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,moderate,160.55406249999996
431,100,1,2,47.53980946,-122.28718290000002,1,1.0,1,15.0,2,26,22,True,within an hour,False,Beacon Hill,House,Private room,Real Bed,True,moderate,64.24541666666666
432,100,1,3,47.55271015,-122.28356480000001,1,1.0,1,25.0,1,14,35,True,within an hour,True,Rainier Valley,House,Private room,Real Bed,False,strict_14_with_grace_period,66.72666666666669
433,99,152,2,47.61216321,-122.33127560000001,1,1.0,1,75.0,28,1125,18,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,159.46989583333328
434,99,1276,4,47.60555705,-122.3390895,1,1.0,1,99.0,2,1125,36,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict_14_with_grace_period,989.8723958333335
435,100,3,2,47.63257392,-122.3713469,2,1.5,1,60.0,1,1125,25,True,within an hour,False,Queen Anne,House,Private room,Real Bed,True,flexible,99.09739583333338
436,100,3,6,47.59917787,-122.3044594,1,2.0,2,35.0,3,1125,34,True,within an hour,True,Central Area,Townhouse,Entire home/apt,Real Bed,True,strict_14_with_grace_period,174.45479166666672
437,100,1,6,47.67321252,-122.37429679999998,1,2.0,2,50.0,2,1125,19,False,within a few hours,True,Ballard,Apartment,Entire home/apt,Real Bed,True,flexible,177.8114583333334
438,100,1,4,47.58941563,-122.3102325,2,1.0,1,85.0,1,14,28,False,within an hour,True,Beacon Hill,House,Entire home/apt,Real Bed,True,moderate,119.76552083333335
439,100,1,4,47.58476221,-122.3853236,1,1.0,2,75.0,1,1125,29,False,within a day,False,West Seattle,House,Entire home/apt,Real Bed,False,moderate,123.66781250000007
440,100,7,2,47.56763552,-122.3678044,2,1.5,1,20.0,2,5,16,True,within an hour,True,Delridge,Townhouse,Private room,Real Bed,False,strict_14_with_grace_period,88.60072916666667
441,100,2,3,47.59209919,-122.2968514,1,1.0,1,50.0,1,1125,40,False,within an hour,False,Central Area,Guest suite,Entire home/apt,Real Bed,True,strict_14_with_grace_period,111.18197916666668
442,100,1,2,47.62428871,-122.316321,1,1.0,1,25.0,2,7,19,False,within an hour,True,Capitol Hill,Townhouse,Private room,Real Bed,True,moderate,79.03125
443,100,1,2,47.61958069,-122.32232450000001,1,1.0,1,0.0,3,1125,26,True,within a day,True,Capitol Hill,Apartment,Private room,Real Bed,False,strict_14_with_grace_period,81.9825
444,100,2,1,47.61876974,-122.3211533,1,1.0,1,30.0,1,180,31,False,within an hour,True,Capitol Hill,Apartment,Entire home/apt,Real Bed,True,flexible,115.14693452380949
445,100,1,2,47.72431839,-122.3529318,1,1.0,1,100.0,7,120,42,True,within a few hours,False,Other neighborhoods,Condominium,Entire home/apt,Real Bed,False,moderate,112.2458333333334
446,100,1,2,47.65546605,-122.3614215,1,1.0,1,50.0,2,1125,42,True,within an hour,True,Other neighborhoods,Guest suite,Entire home/apt,Real Bed,True,moderate,109.530625
447,100,3,2,47.59378643,-122.2949541,1,1.5,1,20.0,1,20,18,True,within an hour,False,Central Area,House,Private room,Real Bed,True,flexible,66.04958333333335
448,100,1,2,47.630835100000006,-122.3243548,1,1.0,1,40.0,1,7,5,False,within an hour,False,Capitol Hill,Guest suite,Entire home/apt,Real Bed,True,moderate,115.07875000000008
449,100,131,2,47.62102373,-122.33224440000001,1,1.0,1,75.0,2,1125,36,True,within an hour,False,Cascade,Serviced apartment,Entire home/apt,Real Bed,True,flexible,258.31479166666725
450,100,32,11,47.62074398,-122.30904609999999,6,2.5,3,150.0,1,365,28,True,within an hour,False,Capitol Hill,Townhouse,Entire home/apt,Real Bed,True,strict_14_with_grace_period,296.9338541666664
451,100,1,4,47.66695877,-122.3382946,2,1.0,1,30.0,1,45,42,True,within an hour,False,Other neighborhoods,Guest suite,Entire home/apt,Real Bed,True,moderate,98.47177083333338
452,100,1,2,47.53557676,-122.34385149999999,2,1.0,0,20.0,1,29,34,False,within an hour,False,Delridge,Guest suite,Entire home/apt,Real Bed,False,flexible,83.00697916666661
453,100,4,12,47.59213609,-122.2935121,1,2.5,4,165.0,1,200,36,True,within an hour,False,Central Area,House,Entire home/apt,Real Bed,True,moderate,288.1541666666666
454,100,1,2,47.63944669,-122.35977050000001,1,1.0,1,0.0,1,4,28,True,within a day,True,Queen Anne,House,Private room,Real Bed,True,flexible,78.86916666666669
455,99,152,2,47.60914599,-122.32352579999998,2,1.0,1,75.0,30,1125,19,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,140.80781249999998
456,100,5,3,47.5255029,-122.3461965,7,1.0,1,100.0,1,31,23,False,within an hour,False,Delridge,Guesthouse,Private room,Real Bed,True,strict_14_with_grace_period,125.88760416666668
457,100,2,8,47.5767401,-122.41095290000001,6,1.0,2,60.0,3,1125,54,True,within an hour,False,West Seattle,House,Entire home/apt,Real Bed,False,flexible,196.48906250000005
458,100,1,2,47.67351624,-122.3643713,1,1.0,0,40.0,2,31,21,True,within an hour,True,Ballard,Apartment,Entire home/apt,Real Bed,True,moderate,96.44260416666663
459,100,10,3,47.6138213,-122.34442,2,1.0,0,65.0,2,1125,38,True,within an hour,True,Downtown,Apartment,Entire home/apt,Real Bed,True,moderate,164.69260416666665
460,99,521,3,47.60266234,-122.3375372,2,1.0,1,89.0,2,1125,27,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict,217.35760416666668
461,100,131,3,47.61405681,-122.34782879999999,2,1.0,1,75.0,2,1125,35,True,within an hour,False,Downtown,Serviced apartment,Entire home/apt,Real Bed,True,moderate,106.43562500000003
462,100,1,1,47.66948533,-122.3634023,1,0.5,1,75.0,30,1125,18,False,within a day,True,Ballard,House,Private room,Real Bed,False,strict_14_with_grace_period,63.98874999999996
463,100,32,20,47.61454563,-122.29903840000001,10,3.0,5,200.0,1,365,29,True,within an hour,False,Central Area,House,Entire home/apt,Real Bed,True,strict_14_with_grace_period,591.5345833333333
464,100,4,6,47.61191941,-122.33033459999999,1,2.0,2,90.0,3,29,52,True,within an hour,False,Downtown,Condominium,Entire home/apt,Real Bed,True,moderate,196.43854166666668
465,100,2,6,47.62423359,-122.2904186,4,2.5,2,125.0,3,120,7,True,within a few hours,True,Central Area,House,Entire home/apt,Real Bed,False,strict_14_with_grace_period,215.9832291666667
466,99,521,5,47.61758,-122.3489051,4,2.0,2,139.0,2,1125,25,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict,313.80187500000017
467,100,1,2,47.53305356,-122.35258780000001,1,1.0,1,0.0,1,7,32,True,within an hour,True,Delridge,Guest suite,Entire home/apt,Real Bed,True,moderate,72.23312499999996
468,100,12,3,47.52326319,-122.2845844,3,0.5,2,25.0,1,100,24,False,within an hour,False,Beacon Hill,Guest suite,Entire home/apt,Real Bed,True,flexible,23.711458333333336
469,100,2,2,47.66144005,-122.40083929999999,1,1.0,1,15.0,1,30,39,True,within an hour,True,Magnolia,Cottage,Private room,Real Bed,False,strict_14_with_grace_period,74.89052083333337
470,100,1,4,47.67993311,-122.3169301,1,1.0,2,35.0,1,1125,18,False,within an hour,False,Other neighborhoods,Apartment,Entire home/apt,Real Bed,True,strict_14_with_grace_period,106.20291666666657
471,99,521,3,47.60959161,-122.3396362,2,1.0,0,89.0,2,1125,21,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict,117.00624999999997
472,100,2,2,47.54296367,-122.28904720000001,1,1.0,1,10.0,2,1125,14,True,within an hour,True,Beacon Hill,House,Private room,Real Bed,True,strict_14_with_grace_period,52.57677083333338
473,100,1,4,47.51915276,-122.3581659,2,1.0,1,55.0,2,29,33,True,within an hour,False,Delridge,Guest suite,Entire home/apt,Real Bed,True,moderate,79.45781250000005
474,100,50,6,47.68108945,-122.3622186,6,2.0,3,328.0,2,1125,22,False,within an hour,False,Other neighborhoods,House,Entire home/apt,Real Bed,True,super_strict_30,184.3851041666667
475,100,1,4,47.69085839,-122.34110349999999,2,1.0,2,125.0,2,120,40,True,within an hour,False,Northgate,House,Entire home/apt,Real Bed,False,strict_14_with_grace_period,156.22427083333335
476,99,521,3,47.61170527,-122.337023,2,1.0,1,89.0,2,1125,24,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict,218.32520833333356
477,99,521,3,47.61574189,-122.3328925,2,1.0,1,89.0,2,1125,28,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict,264.87260416666595
478,100,1,6,47.67770465,-122.3598389,4,1.0,3,175.0,7,150,15,False,within an hour,True,Other neighborhoods,House,Entire home/apt,Real Bed,False,strict_14_with_grace_period,220.47458333333338
479,100,4,2,47.62202852,-122.31635459999998,1,1.0,1,30.0,1,1125,17,True,within a few hours,True,Capitol Hill,Guest suite,Private room,Real Bed,False,flexible,83.86635416666671
480,94,2,4,47.65113448,-122.3929337,4,1.0,1,99.0,1,180,55,False,within an hour,True,Magnolia,House,Entire home/apt,Real Bed,True,strict_14_with_grace_period,183.14114583333333
481,100,1,2,47.58790318,-122.3087494,2,1.0,1,0.0,2,29,18,True,within an hour,False,Beacon Hill,Townhouse,Private room,Real Bed,False,flexible,75.55895833333335
482,100,1,4,47.65886628,-122.34728429999998,1,1.0,2,75.0,2,40,21,True,within an hour,False,Other neighborhoods,Apartment,Entire home/apt,Real Bed,True,flexible,127.69072916666671
483,100,1,3,47.55097951,-122.2704145,1,1.0,0,35.0,1,21,30,False,within an hour,True,Seward Park,Guesthouse,Entire home/apt,Real Bed,False,moderate,98.50916666666667
484,100,2,4,47.52880109,-122.27733359999999,2,1.0,1,40.0,1,16,39,True,within an hour,True,Rainier Valley,Guest suite,Entire home/apt,Real Bed,False,strict_14_with_grace_period,102.16760416666666
485,100,9,4,47.60507651,-122.3187637,2,1.0,0,50.0,1,1123,30,True,within an hour,True,Downtown,Apartment,Entire home/apt,Real Bed,True,strict_14_with_grace_period,128.55770833333335
486,97,2,2,47.61766393,-122.32119920000001,1,1.0,1,60.0,2,10,42,False,within an hour,False,Capitol Hill,Apartment,Entire home/apt,Real Bed,True,flexible,134.7058333333333
487,90,2,4,47.60859832,-122.34324099999999,1,1.0,1,115.0,3,60,25,True,within an hour,False,Downtown,Condominium,Entire home/apt,Real Bed,True,strict_14_with_grace_period,193.54291666666674
488,100,1,2,47.61635682,-122.29133600000002,2,1.0,1,60.0,3,90,34,True,within an hour,True,Central Area,Guest suite,Private room,Real Bed,True,moderate,83.61614583333338
489,100,1,4,47.67576659,-122.31065890000002,2,1.0,1,60.0,2,1125,29,True,within an hour,True,Other neighborhoods,Apartment,Entire home/apt,Real Bed,True,moderate,108.3471874999999
490,99,521,3,47.61175591,-122.349174,2,1.0,1,89.0,2,1125,24,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict,229.1551041666665
491,75,1,5,47.70159043,-122.348382,4,1.0,1,50.0,1,1125,36,True,within an hour,False,Other neighborhoods,Apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,128.79812500000006
492,99,1276,5,47.61362675,-122.34978219999999,1,2.0,2,99.0,2,1125,34,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict_14_with_grace_period,986.0766666666666
493,100,1,6,47.68557659,-122.32108249999999,6,2.5,3,175.0,3,90,30,False,within a day,False,Other neighborhoods,House,Entire home/apt,Real Bed,False,strict_14_with_grace_period,283.5178124999999
494,100,32,20,47.63620964,-122.36776029999999,10,3.0,5,200.0,1,365,27,True,within an hour,False,Queen Anne,House,Entire home/apt,Real Bed,True,strict_14_with_grace_period,553.8991666666666
495,100,131,3,47.62002359,-122.3384504,2,1.0,1,75.0,2,1125,39,True,within an hour,False,Cascade,Serviced apartment,Entire home/apt,Real Bed,True,moderate,108.56812500000002
496,100,1,4,47.65611906,-122.33903149999999,2,1.0,1,60.0,2,35,45,True,within an hour,True,Other neighborhoods,Guest suite,Entire home/apt,Real Bed,False,moderate,105.65510416666672
497,100,1,6,47.59578066,-122.3096529,2,1.0,0,60.0,2,30,43,True,within an hour,False,Central Area,Loft,Entire home/apt,Real Bed,False,strict_14_with_grace_period,135.02291666666662
498,100,2,6,47.66858673,-122.3237176,4,2.0,2,90.0,2,21,43,True,within an hour,False,Other neighborhoods,House,Entire home/apt,Real Bed,True,moderate,188.38187499999995
499,100,1,1,47.61172292,-122.29982350000002,1,1.0,1,0.0,2,14,18,True,within a few hours,False,Central Area,Apartment,Private room,Real Bed,True,flexible,80.38479166666663
500,100,2,2,47.60576028,-122.33851580000001,1,1.0,1,0.0,2,1125,33,False,within an hour,True,Downtown,Apartment,Private room,Real Bed,False,moderate,104.9141666666667
501,100,8,7,47.56520913,-122.37374750000001,4,2.0,3,150.0,3,120,43,True,within an hour,False,West Seattle,House,Entire home/apt,Real Bed,True,strict_14_with_grace_period,301.1396875000001
502,100,2,2,47.61424482,-122.3446155,1,1.0,0,75.0,2,30,53,True,within a few hours,False,Downtown,Apartment,Entire home/apt,Real Bed,True,moderate,144.55947916666673
503,100,1,3,47.61365951,-122.30000919999999,2,1.0,1,60.0,2,30,33,True,within an hour,True,Central Area,Apartment,Entire home/apt,Real Bed,False,moderate,106.58885416666666
504,100,11,2,47.63788612,-122.3410841,1,1.0,1,40.0,2,90,29,False,within an hour,False,Cascade,Boat,Entire home/apt,Real Bed,True,strict_14_with_grace_period,118.28270833333335
505,100,1,4,47.54617374,-122.2611952,2,1.0,1,55.0,2,1125,26,False,within an hour,True,Seward Park,Apartment,Entire home/apt,Real Bed,True,moderate,114.46718750000008
506,100,3,2,47.67160905,-122.3635278,1,1.0,1,0.0,2,5,28,True,within an hour,True,Ballard,House,Private room,Real Bed,False,flexible,67.66812500000006
507,100,4,1,47.53793941,-122.357454,1,1.5,1,15.0,6,90,19,False,within an hour,False,Delridge,House,Private room,Real Bed,True,flexible,34.85114583333332
508,100,1,2,47.60898061,-122.3037539,2,1.0,0,20.0,2,1125,26,False,within an hour,True,Central Area,House,Entire home/apt,Real Bed,False,strict_14_with_grace_period,103.20124999999994
509,89,1,6,47.68292612,-122.32577509999999,3,1.0,2,60.0,2,1125,20,False,within a few hours,False,Other neighborhoods,Apartment,Entire home/apt,Real Bed,False,moderate,126.82750000000011
510,100,1,4,47.67010337,-122.3922312,2,1.0,1,65.0,3,1125,26,True,within an hour,False,Ballard,Apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,116.04499999999996
511,100,2,1,47.63927725,-122.3089817,1,1.0,1,0.0,2,30,38,False,within a few hours,True,Capitol Hill,House,Private room,Real Bed,False,strict_14_with_grace_period,66.92218749999999
512,100,4,2,47.57202019,-122.2978259,1,1.0,1,25.0,2,21,29,True,within an hour,True,Rainier Valley,Guesthouse,Private room,Real Bed,False,moderate,66.23968749999999
513,100,1,2,47.55945175,-122.28363370000001,1,1.0,0,85.0,4,28,30,True,within a few hours,True,Rainier Valley,Loft,Entire home/apt,Real Bed,False,moderate,125.46802083333337
514,100,7,3,47.57169368,-122.3095081,1,1.0,1,85.0,3,1125,20,True,within an hour,True,Beacon Hill,Apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,96.37208333333334
515,100,6,4,47.61320677,-122.32200729999998,2,1.0,1,30.0,1,32,33,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,moderate,123.77772321428573
516,100,18,10,47.6150055,-122.29000149999999,1,3.5,5,250.0,3,1125,29,False,within an hour,False,Central Area,House,Entire home/apt,Real Bed,True,strict_14_with_grace_period,389.935
517,100,1,2,47.57673513,-122.2877709,1,1.0,0,45.0,2,1125,17,False,within an hour,False,Rainier Valley,Guest suite,Entire home/apt,Real Bed,True,moderate,98.18583333333336
518,100,1,2,47.67624468,-122.3802074,1,1.5,1,50.0,2,7,23,False,within an hour,True,Ballard,Guesthouse,Entire home/apt,Real Bed,True,moderate,104.00135416666667
519,100,4,3,47.66088361,-122.3543449,2,1.0,1,60.0,2,1125,30,True,within an hour,True,Other neighborhoods,House,Entire home/apt,Real Bed,True,moderate,111.18093749999997
520,96,13,8,47.62242994,-122.3167368,1,1.5,4,200.0,3,1125,25,False,within an hour,False,Capitol Hill,House,Entire home/apt,Real Bed,False,strict_14_with_grace_period,321.351875
521,100,1,4,47.62010231,-122.30769440000002,4,1.0,2,120.0,4,21,38,True,within an hour,False,Capitol Hill,Apartment,Entire home/apt,Real Bed,False,moderate,160.85343749999993
522,100,1,2,47.52565058,-122.356963,1,1.0,1,40.0,2,1125,15,False,within an hour,False,Delridge,Guesthouse,Entire home/apt,Real Bed,True,moderate,86.70395833333336
523,99,521,3,47.60257713,-122.33708519999999,2,1.0,1,89.0,2,1125,27,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict,215.14229166666667
524,100,1,4,47.51820114,-122.3781945,2,1.0,1,75.0,2,1125,53,True,within an hour,True,West Seattle,Guest suite,Entire home/apt,Real Bed,False,moderate,121.57968749999998
525,100,1,4,47.638717299999996,-122.39769650000001,1,1.0,1,0.0,1,1125,29,False,within an hour,False,Magnolia,Apartment,Entire home/apt,Real Bed,True,flexible,121.84604166666662
526,100,2,3,47.68306739,-122.3095463,4,1.0,1,90.0,2,29,33,False,within an hour,True,Other neighborhoods,Guest suite,Entire home/apt,Real Bed,True,moderate,119.41989583333324
527,100,1,4,47.7138836,-122.2946706,2,1.0,1,50.0,3,10,34,True,within an hour,True,Lake City,Guest suite,Entire home/apt,Real Bed,True,strict_14_with_grace_period,102.49468749999993
528,100,3,2,47.704125299999994,-122.34070790000001,1,1.0,1,30.0,2,31,11,False,within an hour,False,Northgate,Guest suite,Private room,Real Bed,True,strict_14_with_grace_period,55.76479166666668
529,100,1,4,47.679371200000006,-122.3569682,2,1.0,1,25.0,2,28,34,True,within an hour,True,Other neighborhoods,Apartment,Entire home/apt,Futon,True,moderate,102.16885416666669
530,100,1,2,47.63061861,-122.3683821,1,1.0,1,50.0,1,1125,35,True,within an hour,True,Queen Anne,Guest suite,Entire home/apt,Real Bed,True,moderate,111.81572916666673
531,99,521,3,47.60430022,-122.33714640000001,2,1.0,1,89.0,2,1125,27,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict,218.14666666666668
532,100,4,2,47.62210894,-122.31708470000001,1,1.0,0,40.0,1,1125,23,True,within an hour,False,Capitol Hill,Apartment,Entire home/apt,Real Bed,True,moderate,129.8439583333334
533,100,10,2,47.58911753,-122.30943059999998,1,1.5,1,0.0,1,30,33,True,within an hour,True,Beacon Hill,House,Private room,Real Bed,True,strict_14_with_grace_period,69.594375
534,100,7,2,47.56234009,-122.38589679999998,1,1.0,1,25.0,1,10,32,False,within an hour,True,West Seattle,Townhouse,Private room,Real Bed,False,flexible,71.35593749999997
535,100,1,2,47.63461628,-122.35802269999999,1,1.0,0,30.0,3,1125,24,True,within an hour,True,Queen Anne,Apartment,Entire home/apt,Real Bed,True,flexible,106.12260416666662
536,100,1,4,47.5552595,-122.3135423,2,1.0,2,45.0,1,14,22,False,within an hour,False,Beacon Hill,House,Entire home/apt,Real Bed,True,moderate,98.02072916666675
537,100,3,4,47.65177833,-122.348721,2,1.0,1,75.0,2,1125,22,True,within an hour,True,Other neighborhoods,Apartment,Entire home/apt,Real Bed,False,flexible,116.12947916666673
538,100,1,4,47.5972146,-122.2881313,2,1.0,1,75.0,1,21,31,True,within an hour,False,Central Area,Guest suite,Entire home/apt,Real Bed,False,moderate,112.83156250000003
539,100,1,1,47.65253584,-122.3557533,1,1.0,1,50.0,2,1125,28,False,within an hour,False,Other neighborhoods,Townhouse,Private room,Real Bed,True,strict_14_with_grace_period,64.69145833333333
540,100,3,2,47.60056684,-122.3343051,2,1.0,0,80.0,2,120,33,True,within an hour,True,Downtown,Loft,Entire home/apt,Real Bed,True,strict_14_with_grace_period,142.49583333333337
541,100,9,3,47.62405698,-122.3576432,2,1.0,1,55.0,1,30,63,True,within an hour,True,Queen Anne,Apartment,Entire home/apt,Real Bed,True,moderate,128.09458333333333
